,Concept,Cosine Similarity,Correlation
0,bee_raccoon,0.40581101179122925,0.537015438079834
1,bird_ant,0.4532219171524048,0.5665517151355743
2,ant_raccoon,0.4001604914665222,0.493044912815094
3,deer_fish,0.42042672634124756,0.524312436580658
4,bear_frog,0.4960876703262329,0.5761345028877258
5,alligator_rhinoceros,0.30202358961105347,0.36394476890563965
6,rhinoceros_alligator,0.30202358961105347,0.36394476890563965
7,bird_deer,0.41397374868392944,0.5285142660140991
8,frog_turtle,0.392805814743042,0.5523853003978729
9,bird_horse,0.332869291305542,0.45320379734039307
10,horse_bird,0.332869291305542,0.45320379734039307
11,alligator_turtle,0.40170758962631226,0.49144214391708374
12,kangaroo_camel,0.24213194847106934,0.3957180380821228
13,horse_kangaroo,0.24302130937576294,0.38120192289352417
14,kangaroo_horse,0.24302130937576294,0.38120192289352417
15,squirrel_cat,0.26960867643356323,0.4221912622451782
16,rabbit_deer,0.46508878469467163,0.5597919523715973
17,raccoon_rabbit,0.442486047744751,0.5294070839881897
18,horse_monkey,0.22878241539001465,0.3501250147819519
19,rabbit_camel,0.4733184576034546,0.5962751507759094
20,monkey_dog,0.2112712264060974,0.32434552907943726
21,monkey_squirrel,0.2291499376296997,0.37899231910705566
22,horse_goat,0.3325834274291992,0.4853348135948181
23,giraffe_zebra,0.3631203770637512,0.48673391342163086
24,horse_cow,0.20488864183425903,0.3008803725242615
25,rhinoceros_cow,0.35657989978790283,0.4723343253135681
26,zebra_deer,0.38635188341140747,0.5297955870628357
27,cow_lion,0.23774147033691406,0.29838401079177856
28,donkey_cow,0.385556161403656,0.5365994274616241
29,lion_cow,0.23774147033691406,0.29838401079177856
30,bear_cow,0.3312729597091675,0.3681625723838806
31,camel_rhinoceros,0.3856739401817322,0.5261212289333344
32,cat_sheep,0.35634350776672363,0.518546462059021
33,giraffe_donkey,0.5834004878997803,0.7544993758201599
34,giraffe_lion,0.3679625988006592,0.4515308737754822
35,cow_dog,0.21549028158187866,0.3171921372413635
36,giraffe_dog,0.29707229137420654,0.3901752233505249
37,leopard_zebra,0.21060681343078613,0.3533824682235718
38,donkey_dog,0.3558209538459778,0.5064919292926788
39,cat_dog,0.2507113218307495,0.37120211124420166
40,lion_bear,0.28213149309158325,0.3165609836578369
41,rabbit_raccoon,0.442486047744751,0.5294070839881897
42,bear_leopard,0.46278250217437744,0.5296500027179718
43,rhinoceros_horse,0.24595189094543457,0.325401246547699
44,raccoon_lion,0.32909101247787476,0.40367627143859863
45,tiger_raccoon,0.41710424423217773,0.538916826248169
46,dog_bear,0.3997792601585388,0.45135223865509033
47,dog_raccoon,0.36573487520217896,0.48452186584472656
48,deer_sheep,0.3721131682395935,0.49680614471435547
