,Concept,Euclidean,Pearson
0,bee_raccoon,0.20297692716121674,0.4943566918373108
1,bird_ant,0.32036614418029785,1.0064603826031089
2,ant_raccoon,0.26402372121810913,0.6787139475345612
3,deer_fish,0.17822031676769257,0.5971979796886444
4,bear_frog,0.1944555938243866,0.8918080106377602
5,alligator_rhinoceros,0.25269290804862976,0.8444205820560455
6,rhinoceros_alligator,0.25269290804862976,0.8444205820560455
7,bird_deer,0.21518322825431824,0.7696067094802856
8,bird_horse,0.22548620402812958,0.9495613388717175
9,horse_bird,0.22548620402812958,0.9495613388717175
10,kangaroo_camel,0.19023242592811584,0.7653372883796692
11,horse_kangaroo,0.140300452709198,0.5466175079345703
12,kangaroo_horse,0.140300452709198,0.5466175079345703
13,elephant_deer,0.19592419266700745,0.8029123842716217
14,squirrel_cat,0.17886492609977722,0.49779409170150757
15,rabbit_deer,0.16040872037410736,0.5887679755687714
16,raccoon_rabbit,0.1548609435558319,0.5378657281398773
17,horse_monkey,0.12338074296712875,0.43525582551956177
18,rabbit_camel,0.19923697412014008,0.8082665950059891
19,monkey_dog,0.18098914623260498,0.5189038515090942
20,monkey_squirrel,0.18673574924468994,0.5979334115982056
21,horse_goat,0.13907234370708466,0.48203855752944946
22,giraffe_zebra,0.1560000777244568,0.44525665044784546
23,horse_cow,0.13670744001865387,0.5722824335098267
24,rhinoceros_cow,0.1889849603176117,0.81571464240551
25,zebra_deer,0.17911489307880402,0.5686990022659302
26,cow_lion,0.1441921889781952,0.5449515879154205
27,donkey_cow,0.15831124782562256,0.704774409532547
28,lion_cow,0.1441921889781952,0.5449515879154205
29,bear_cow,0.18149247765541077,0.8114255964756012
30,camel_rhinoceros,0.24901460111141205,0.8356444239616394
31,cat_sheep,0.2530449628829956,0.9879711139947176
32,giraffe_donkey,0.172578826546669,0.7026328444480896
33,giraffe_lion,0.1818598359823227,0.7537920922040939
34,cow_dog,0.1966293901205063,0.6828030347824097
35,giraffe_dog,0.18975511193275452,0.6899606585502625
36,leopard_zebra,0.20106060802936554,0.6506564021110535
37,donkey_dog,0.20744796097278595,0.7909040004014969
38,cat_dog,0.1977723389863968,0.5998907387256622
39,lion_bear,0.18330682814121246,0.7100972533226013
40,rabbit_raccoon,0.1548609435558319,0.5378657281398773
41,bear_leopard,0.19343309104442596,0.724477082490921
42,rhinoceros_horse,0.23094433546066284,0.9181386530399323
43,raccoon_lion,0.20515015721321106,0.7639049887657166
44,tiger_raccoon,0.22432328760623932,0.7136200070381165
45,dog_bear,0.19866742193698883,0.6579753756523132
46,dog_raccoon,0.22661444544792175,0.6540901362895966
47,deer_sheep,0.1756121814250946,0.6125528812408447
