,Concept,Euclidean,Pearson
0,bee_raccoon,0.34773197770118713,0.8717330992221832
1,bird_ant,0.4393141567707062,1.0601764097809792
2,ant_raccoon,0.38780418038368225,1.031198127195239
3,deer_fish,0.3970119059085846,1.0522114634513855
4,bear_frog,0.40958476066589355,1.020988393574953
5,alligator_rhinoceros,0.38935643434524536,1.0995281115174294
6,rhinoceros_alligator,0.38935643434524536,1.0995281115174294
7,bird_deer,0.3814951479434967,0.9476479180157185
8,bird_horse,0.3665434420108795,1.0818019732832909
9,horse_bird,0.3665434420108795,1.0818019732832909
10,kangaroo_camel,0.3729218542575836,0.991661824285984
11,horse_kangaroo,0.31982094049453735,0.9235281199216843
12,kangaroo_horse,0.31982094049453735,0.9235281199216843
13,elephant_deer,0.3811801075935364,0.9492524899542332
14,squirrel_cat,0.36769771575927734,0.780401811003685
15,rabbit_deer,0.30965495109558105,0.8481794744729996
16,raccoon_rabbit,0.3298277258872986,0.9818868096917868
17,horse_monkey,0.24812179803848267,0.8938720896840096
18,rabbit_camel,0.29962262511253357,0.807090163230896
19,monkey_dog,0.32144343852996826,0.9523393027484417
20,monkey_squirrel,0.3236209750175476,0.927303858101368
21,horse_goat,0.3013770580291748,0.7935940623283386
22,giraffe_zebra,0.36164209246635437,0.8078793287277222
23,horse_cow,0.25907400250434875,0.8858667686581612
24,rhinoceros_cow,0.36331528425216675,0.9871410764753819
25,zebra_deer,0.36697107553482056,0.9760264288634062
26,cow_lion,0.33477845788002014,0.9132049381732941
27,donkey_cow,0.33150729537010193,1.0256436374038458
28,lion_cow,0.33477845788002014,0.9132049381732941
29,bear_cow,0.3390093743801117,0.949880339205265
30,camel_rhinoceros,0.3820691704750061,0.9397908672690392
31,cat_sheep,0.42323505878448486,0.9877945277839899
32,giraffe_donkey,0.41089317202568054,1.0349659137427807
33,giraffe_lion,0.37999817728996277,0.8093687891960144
34,cow_dog,0.3158506155014038,0.8753094300627708
35,giraffe_dog,0.411369264125824,1.0051871822215617
36,leopard_zebra,0.3650696277618408,0.89054124802351
37,donkey_dog,0.38167858123779297,1.0024230452254415
38,cat_dog,0.38681039214134216,0.880695141851902
39,lion_bear,0.41264450550079346,0.987989648245275
40,rabbit_raccoon,0.3298277258872986,0.9818868096917868
41,bear_leopard,0.3722933232784271,0.8800503835082054
42,rhinoceros_horse,0.33375129103660583,0.8841419741511345
43,raccoon_lion,0.37817302346229553,0.9583572410047054
44,tiger_raccoon,0.3392994999885559,0.8719992488622665
45,dog_bear,0.38310739398002625,0.9398546665906906
46,dog_raccoon,0.4017634987831116,1.1501681059598923
47,deer_sheep,0.36361929774284363,0.850160539150238
