,Concept,Euclidean,Pearson
0,bee_raccoon,0.3665458559989929,0.816866010427475
1,bird_ant,0.3667834997177124,0.7857282608747482
2,ant_raccoon,0.3506085276603699,0.8295196294784546
3,deer_fish,0.44728830456733704,0.7965348362922668
4,bear_frog,0.4212286174297333,0.7166531383991241
5,alligator_rhinoceros,0.4201854467391968,0.7167571783065796
6,rhinoceros_alligator,0.4201854467391968,0.7167571783065796
7,bird_deer,0.3554295599460602,0.7526349425315857
8,frog_turtle,0.47087985277175903,0.9686611518263817
9,bird_horse,0.3695322275161743,0.8089592754840851
10,horse_bird,0.3695322275161743,0.8089592754840851
11,alligator_turtle,0.5240005850791931,1.0610032752156258
12,kangaroo_camel,0.5738587975502014,0.8767844587564468
13,horse_kangaroo,0.36065438389778137,0.7949720919132233
14,kangaroo_horse,0.36065438389778137,0.7949720919132233
15,elephant_deer,0.3531949818134308,0.6633460819721222
16,squirrel_cat,0.376473069190979,0.7000967860221863
17,rabbit_deer,0.31337401270866394,0.7321538329124451
18,raccoon_rabbit,0.2976466119289398,0.8643652200698853
19,horse_monkey,0.2989487051963806,0.7030992805957794
20,rabbit_camel,0.5104576945304871,0.738210916519165
21,monkey_dog,0.3149598240852356,0.7432583570480347
22,monkey_squirrel,0.32404792308807373,0.8769765794277191
23,horse_goat,0.3894849121570587,0.8569360077381134
24,horse_cow,0.41536837816238403,0.9898338504135609
25,rhinoceros_cow,0.3911999464035034,0.852253720164299
26,cow_lion,0.31110525131225586,0.6492530405521393
27,donkey_cow,0.2939503490924835,0.6938237547874451
28,lion_cow,0.31110525131225586,0.6492530405521393
29,bear_cow,0.34857121109962463,0.827928215265274
30,camel_rhinoceros,0.5125333070755005,0.7648385316133499
31,cat_sheep,0.45707181096076965,0.8684728741645813
32,giraffe_donkey,0.3435674011707306,0.805579662322998
33,giraffe_lion,0.3748050034046173,0.8286184221506119
34,cow_dog,0.2963744103908539,0.643681138753891
35,giraffe_dog,0.3723038136959076,0.8815657943487167
36,donkey_dog,0.3569867014884949,0.8750245794653893
37,cat_dog,0.452401727437973,0.978763472288847
38,lion_bear,0.3790503442287445,0.8402484208345413
39,rabbit_raccoon,0.2976466119289398,0.8643652200698853
40,bear_leopard,0.35428178310394287,0.7863792926073074
41,rhinoceros_horse,0.30670133233070374,0.6051060259342194
42,raccoon_lion,0.35583731532096863,0.8202853500843048
43,tiger_raccoon,0.36756303906440735,0.8988069668412209
44,dog_bear,0.3933269679546356,0.9419085383415222
45,dog_raccoon,0.34199944138526917,0.7808572053909302
46,deer_sheep,0.33906668424606323,0.5851921141147614
