,Concept,Euclidean,Pearson
0,bee_raccoon,0.3690457046031952,0.8628738075494766
1,bird_ant,0.35398077964782715,0.9046837836503983
2,ant_raccoon,0.3981197476387024,0.9654863700270653
3,deer_fish,0.34515076875686646,0.9639029763638973
4,bear_frog,0.48995301127433777,1.1821612119674683
5,alligator_rhinoceros,0.38718026876449585,1.1965012401342392
6,rhinoceros_alligator,0.38718026876449585,1.1965012401342392
7,bird_deer,0.29214078187942505,0.8665952831506729
8,frog_turtle,0.38755834102630615,0.9446667768061161
9,bird_horse,0.25281813740730286,0.8273266106843948
10,horse_bird,0.25281813740730286,0.8273266106843948
11,alligator_turtle,0.30699875950813293,0.9115290641784668
12,kangaroo_camel,0.43195194005966187,1.1034164130687714
13,horse_kangaroo,0.2817128598690033,0.8021851927042007
14,kangaroo_horse,0.2817128598690033,0.8021851927042007
15,elephant_deer,0.40908169746398926,0.9363998919725418
16,squirrel_cat,0.321392297744751,1.0556507892906666
17,rabbit_deer,0.3137940466403961,0.9590814746916294
18,raccoon_rabbit,0.3479381203651428,1.016802379861474
19,horse_monkey,0.30039405822753906,0.8917159661650658
20,rabbit_camel,0.2654748558998108,0.7734503597021103
21,monkey_dog,0.29559841752052307,0.8203330039978027
22,monkey_squirrel,0.34049904346466064,0.9693361055105925
23,horse_goat,0.31267011165618896,1.000579669547733
24,horse_cow,0.2401403784751892,0.8769292682409286
25,rhinoceros_cow,0.3151871860027313,0.9617778807878494
26,cow_lion,0.3112415373325348,0.7467166185379028
27,donkey_cow,0.29145297408103943,0.9902827451005578
28,lion_cow,0.3112415373325348,0.7467166185379028
29,bear_cow,0.33151257038116455,0.9037867113947868
30,camel_rhinoceros,0.41998642683029175,1.1330647021532059
31,cat_sheep,0.29948535561561584,0.8283026218414307
32,giraffe_donkey,0.38720786571502686,1.0821879357099533
33,giraffe_lion,0.44290289282798767,1.1306819468736649
34,cow_dog,0.3330534100532532,0.891485407948494
35,giraffe_dog,0.4760347008705139,1.1091128066182137
36,donkey_dog,0.3488942086696625,0.872920498251915
37,cat_dog,0.4756838381290436,1.0976223945617676
38,lion_bear,0.4342944920063019,1.0679311230778694
39,rabbit_raccoon,0.3479381203651428,1.016802379861474
40,bear_leopard,0.40203458070755005,0.9986197769176215
41,rhinoceros_horse,0.29420986771583557,0.9802122581750154
42,raccoon_lion,0.4168336093425751,1.041637223213911
43,tiger_raccoon,0.3607364892959595,0.832826092839241
44,dog_bear,0.3552353084087372,0.8411741107702255
45,dog_raccoon,0.41543257236480713,0.9374446049332619
46,deer_sheep,0.3357284367084503,1.0011195187689736
