,Concept,Cosine Similarity,Correlation
0,bee_raccoon,0.9546710550785065,0.9180639833211899
1,bird_ant,0.9640548191964626,0.9658754579722881
2,ant_raccoon,0.9343221336603165,0.9317665621638298
3,deer_fish,0.8054526746273041,0.8356631845235825
4,bear_frog,1.0195447150617838,1.016749206930399
5,alligator_rhinoceros,1.2413406819105148,1.1031342148780823
6,rhinoceros_alligator,1.2413406819105148,1.1031342148780823
7,bird_deer,0.9090630933642387,0.8943213373422623
8,frog_turtle,0.9618761464953423,0.9045591354370117
9,bird_horse,0.8255757391452789,0.7775682210922241
10,horse_bird,0.8255757391452789,0.7775682210922241
11,alligator_turtle,0.7103880345821381,0.8517802506685257
12,kangaroo_camel,0.8612626194953918,0.8571101278066635
13,horse_kangaroo,0.8874799683690071,0.8772420808672905
14,kangaroo_horse,0.8874799683690071,0.8772420808672905
15,squirrel_cat,0.8157501965761185,0.8807826414704323
16,rabbit_deer,0.7604412883520126,0.769185945391655
17,raccoon_rabbit,0.8036111891269684,0.812919870018959
18,horse_monkey,0.8938114494085312,0.791721984744072
19,rabbit_camel,0.9185054823756218,0.8762326017022133
20,monkey_dog,0.760561615228653,0.756036639213562
21,monkey_squirrel,1.0732081308960915,1.018643382936716
22,horse_goat,0.8716466277837753,0.7968046367168427
23,giraffe_zebra,0.7736732363700867,0.8511197715997696
24,horse_cow,0.7931453436613083,0.8417431265115738
25,rhinoceros_cow,0.771839439868927,0.8335906714200974
26,zebra_deer,0.6936621963977814,0.7129322588443756
27,cow_lion,0.8448109924793243,0.863453596830368
28,donkey_cow,0.8451633006334305,0.8568965047597885
29,lion_cow,0.8448109924793243,0.863453596830368
30,bear_cow,0.8366887420415878,0.8281121999025345
31,camel_rhinoceros,1.2131910026073456,1.0806764587759972
32,cat_sheep,0.6261737644672394,0.72361159324646
33,giraffe_donkey,0.9055354669690132,0.9261814281344414
34,giraffe_lion,0.8141595721244812,0.8417369425296783
35,cow_dog,0.8368824422359467,0.8304213583469391
36,giraffe_dog,0.9488927125930786,0.9402157962322235
37,leopard_zebra,0.7422731518745422,0.7740398347377777
38,donkey_dog,0.8839263096451759,0.8822096437215805
39,cat_dog,0.8804880231618881,0.8643152713775635
40,lion_bear,0.9725173972547054,0.9690633993595839
41,rabbit_raccoon,0.8036111891269684,0.812919870018959
42,bear_leopard,0.9778397288173437,0.9732233136892319
43,rhinoceros_horse,0.7255687713623047,0.8321016430854797
44,raccoon_lion,0.8170237094163895,0.8281754553318024
45,tiger_raccoon,0.8156145513057709,0.8158995807170868
46,dog_bear,0.8684683591127396,0.8688836246728897
47,dog_raccoon,0.9666917324066162,0.9644187465310097
48,deer_sheep,0.7172011435031891,0.7398680150508881
